Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AMERICA,ARGENTINA,CONSULADO,RIO GRANDE,CONSULADO,2.0,2,350.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO,USHUAIA,CONSULADO,1.0,1,95.0,1.0,APRUEBO,0.0
AMERICA,ARGENTINA,CONSULADO,USHUAIA,CONSULADO,1.0,1,95.0,2.0,RECHAZO,0.0
AMERICA,ARGENTINA,CONSULADO,USHUAIA,CONSULADO,1.0,1,95.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO,USHUAIA,CONSULADO,1.0,1,95.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,1.0,1,349.0,1.0,APRUEBO,34.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,1.0,1,349.0,2.0,RECHAZO,7.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,1.0,1,349.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,1.0,1,349.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,2.0,2,337.0,1.0,APRUEBO,46.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,2.0,2,337.0,2.0,RECHAZO,7.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,2.0,2,337.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BARILOCHE,CONSULADO,2.0,2,337.0,901.0,VOTOS EN BLANCO,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,1.0,1,348.0,1.0,APRUEBO,153.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,1.0,1,348.0,2.0,RECHAZO,29.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,1.0,1,348.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,1.0,1,348.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,2.0,2,348.0,1.0,APRUEBO,149.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,2.0,2,348.0,2.0,RECHAZO,16.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,2.0,2,348.0,900.0,VOTOS NULOS,1.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,2.0,2,348.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,3.0,3,340.0,1.0,APRUEBO,141.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,3.0,3,340.0,2.0,RECHAZO,26.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,3.0,3,340.0,900.0,VOTOS NULOS,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,3.0,3,340.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,ARGENTINA,CONSULADO GRAL.,BUENOS AIRES,LOCAL PRIVADO,4.0,4,346.0,1.0,APRUEBO,187.0
