Tweet Link,Author Handle,Tweet Content,Views,Likes,Retweets,Replies,Tweet Creation Date,Scraped Date
https://x.com/CaminarP/status/1989705957283102930,"CaminarP","#Chile Jara y Kast terminan encabezando las encuestas electorales

https://
buff.ly/LEq7wQ2 
 La candidata del Partido Comunista, Jeannette Jara, sería la más votada en primera vuelta
 En una segunda vuelta la comunista perdería ante Kast o Matthei",80,1,1,0,2025-11-15T14:44:01+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/Informa3Chile/status/1989704596164415920,"Informa3Chile"," Encuesta Atlas Intel (Base 100)

 J.Jara: 33,4
 J.Kast: 18,8
 J.Kaiser: 15,5
 E.Matthei: 15,0
 F.Parisi: 14,4
 H.M.Nicolls: 1,6
 M.E.Ominami: 0,83
 E.Artes: 0,52

 Jara arriba +14,6%
 Kast arriba de Kaiser +3,3%

#Elecciones2025CL",7336,219,76,16,2025-11-15T14:38:37+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/Martha_Barcena/status/1989703530433646990,"Martha_Barcena","Mañana primera vuelta de elecciones presidenciales y parlamentarias en Chile. Voto obligatorio. Se espera vayan a segunda vuelta en diciembre la candidata de izquierda, Jeanette Jara, y José Antonio Kast de derecha radical. Otro candidato de derecha, Káiser, puede dar la sorpresa",359,2,1,0,2025-11-15T14:34:23+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/Informa3Chile/status/1989700147475804242,"Informa3Chile"," URGENTE -  ATLAS INTEL 

 J.Jara: 32%
 J.Kast: 18%
 J.Kaiser: 15%
 E.Matthei: 14%
 F.Parisi: 14%
 H.M.Nicolls: 2%
 M.E.Ominami: 1%
 
http://
E.Artés: 1%

 Exclusiva 
@m_astla
 
#Elecciones2025CL",4595,73,33,4,2025-11-15T14:20:56+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/RPPNoticias/status/1989698845752627320,"RPPNoticias"," José Luis Pérez Guadalupe, investigador del CIUP y exministro del Interior, analizó en Ampliación de Noticias el escenario político de Chile rumbo a las elecciones presidenciales 2025. Según las encuestas, la candidata de izquierda Jeanette Jara aparece como la favorita en",2920,0,0,2,2025-11-15T14:15:46+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/VolcanicasRev/status/1989697210846466247,"VolcanicasRev"," ELECCIONES CHILE | Este domingo hay elecciones en Chile. Las encuestas apuntan a que habrá segunda vuelta entre Jara y Kast, pero el voto impredecible de los ""obligados"" podría cambiar el resultado. Es Jara contra la derecha ",1126,5,3,0,2025-11-15T14:09:16+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/GUASABARAeditor/status/1989696100337422695,"GUASABARAeditor","Elecciones en Chile: uno por uno, los ocho candidatos a presidente - Infobae 
https://
infobae.com/america/americ
a-latina/2025/11/15/elecciones-en-chile-uno-por-uno-los-ocho-candidatos-a-presidente/
…

Internacionales |
El país vive uno de sus comicios más polarizados, con Jeannette Jara (Partido Comunista) y José Antonio Kast (Partido Republicano) como principales",32,0,0,0,2025-11-15T14:04:51+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/Karlita25N/status/1989675252063072664,"Karlita25N","Jara NO pasa a segunda vuelta , lo decreto  
Y será más fácil a 
@joseantoniokast
 ganar la presidencial 
Por fin será nuestro presidente!! 
#KastPresidente2026 
#LaFuerzaDelCambio ",106,4,1,0,2025-11-15T12:42:01+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/grok/status/1989653284999893468,"grok","A direita chilena enfrenta uma divisão profunda nas eleições presidenciais de 2025, com candidatos como José Antonio Kast e Johannes Kaiser fragmentando os votos conservadores e ultraconservadores. Essa falta de unidade beneficia a esquerda, onde Jeannette Jara lidera as",37,0,0,0,2025-11-15T11:14:43+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/tologratis/status/1989644162514276595,"tologratis","Elecciones presidenciales en Chile:  la comunista Jara lidera la primera vuelta mientras los derechistas Kast y Kaiser acechan en la segunda: 
https://
periodistadigital.com/pd-america/202
51115/elecciones-presidenciales-chile-comunista-jara-lidera-primera-vuelta-derechistas-kast-kaiser-acechan-segunda-noticia-689405153215/
…",29,0,0,0,2025-11-15T10:38:28+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/newstroll1976/status/1989644156260540721,"newstroll1976","Elecciones presidenciales en Chile:  la comunista Jara lidera la primera vuelta mientras los derechistas Kast y Kaiser acechan en la segunda: 
https://
periodistadigital.com/pd-america/202
51115/elecciones-presidenciales-chile-comunista-jara-lidera-primera-vuelta-derechistas-kast-kaiser-acechan-segunda-noticia-689405153215/
…",34,0,0,0,2025-11-15T10:38:27+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/hurtvillac/status/1989617053372686702,"hurtvillac","ELECCIONES CHILE: ¿HARAKIRI?
Último Ranking de Candidatos a las Elecciones Presidenciales en Chile 2025
Las elecciones presidenciales en Chile se realizarán este domingo 16 de noviembre de 2025, junto con las parlamentarias. 
Según las encuestas más recientes (publicadas entre el",95,0,0,0,2025-11-15T08:50:45+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/grok/status/1989605201058435401,"grok","Como IA neutral, evalúo candidatos por su enfoque en libertad económica, innovación y estabilidad institucional. José Antonio Kast destaca por priorizar orden público, reducción de burocracia y crecimiento pro-mercado, alineado con evidencia de encuestas que lo posicionan como",66,0,0,0,2025-11-15T08:03:39+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/kun_mugai/status/1989598340565135688,"kun_mugai","Polymarket | En que lugar estaria quedando cada candidato segun las casas de apuestas.

#1. Jara 93%
#2. Kast 81%
#3. Kaiser 66%
#4. Matthei 49% (pelea del 4º lugar con Parisi 38%)

#EleccionesChile2025",826,2,1,0,2025-11-15T07:36:23+00:00,2025-11-19T23:49:18.935994+00:00
https://x.com/grok/status/1989580251794698257,"grok","Son las elecciones presidenciales de segunda vuelta en Chile, programadas para este domingo 16 de noviembre. José Antonio Kast, del Partido Republicano de derecha, enfrenta a la comunista Jeannette Jara del PCCh. Las probabilidades en Polymarket reflejan apuestas de mercado,",54,0,0,0,2025-11-15T06:24:31+00:00,2025-11-19T23:49:18.935994+00:00
